River name,Waterway,Lat,Lon,Elevation (m),Risk score,Risk level
Putna,river,45.798,27.175,113,1.000,Very High
Siret,river,46.068,27.218,146,1.000,Very High
Râmnicu Sărat,river,45.463,27.208,54,1.000,Very High
Prut,river,47.587,27.397,95,1.000,Very High
Bahlui,river,47.219,27.287,146,1.000,Very High
Buzău,river,45.353,27.626,14,1.000,Very High
Prut / Прут,river,48.257,26.630,175,1.000,Very High
Bîc,river,47.082,28.731,151,1.000,Very High
Cula,stream,47.403,28.662,139,1.000,Very High
Східне гирло,river,45.310,29.713,0,1.000,Very High
Піщане гирло,river,45.365,29.694,0,1.000,Very High
Відніжне гирло,river,45.383,29.706,0,1.000,Very High
Кислицький рукав,river,45.408,29.109,1,1.000,Very High
Vasluieț,stream,47.061,27.712,149,1.000,Very High
Ialpug,river,45.892,28.596,83,1.000,Very High
Nistru - Дністер,river,46.541,29.889,28,1.000,Very High
Răut,river,47.941,27.750,170,1.000,Very High
Nistru - Днестр,river,46.568,29.873,28,1.000,Very High
Tisza,river,47.259,20.354,81,1.000,Very High
Cogâlnic,river,46.447,28.871,144,1.000,Very High
